;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;Добыча полезных ископаемых;Обрабатывающие производства;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;Строительство;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Транспортировка и хранение;Деятельность гостиниц и предприятий общественного питания;Деятельность в области информации и связи;Деятельность по операциям с недвижимым имуществом;Деятельность профессиональная, научная и техническая;Деятельность административная и сопутствующие дополнительные услуги;Государственное управление и обеспечение военной безопасности, социальное обеспечение;Образование;Деятельность в области здравоохранения и социальных услуг;Деятельность в области культуры, спорта, организации досуга и развлечений;Предоставление прочих видов услуг;Деятельность финансовая и страховая;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления;Предоставление прочих коммунальных, социальных и персональных услуг;Гостиницы и рестораны;Транспорт и связь
Алтайский край;53.8;14.1;252;61.3;7.3;14.4;291.6;18.7;0.6;1.6;11.2;4.1;0.3;0;0;3.6;0.1;0.2;0.6;3.6;3.6;0;0.9;18.7
Красноярский край;44.9;623.3;1 701.40;260.1;28.7;70.8;407.6;158.7;8.3;3.5;23.4;63.1;10.8;0;0;3.6;0.1;0.2;8.3;3.6;3.6;0;0.6;158.7
Иркутская область;50.2;482.2;312.7;205.2;11.4;47.6;331.1;158.6;2.7;2.9;9.6;20.6;9;0;0;1.3;0;0.7;2.7;1.3;1.3;0;0.6;158.6
Кемеровская область;15.7;758.8;587.4;185.3;13.2;65;516;107.6;1.6;3.7;15.4;12.9;5.3;0;0;2.4;0.4;0.4;1.6;2.4;2.4;0;0.9;107.6
Новосибирская область;46.9;52.9;337.2;102.9;17.5;14.4;782.4;343.4;1.8;29.9;12.2;23.1;6.7;0;0;8.2;0.9;0.5;1.8;8.2;8.2;0;1.1;343.4
Омская область;34;0;231.7;65.7;5.8;25.8;204.4;106.3;0.5;2.2;4.8;14.2;1.1;0;0;3.5;0.9;0.2;0.5;3.5;3.5;0;1;106.3
Томская область;21.7;170.9;137.5;47.3;3.5;15.1;345.8;162.7;0.8;2.9;14.9;15.9;1.9;0;0;1.8;0;0.2;0.8;1.8;1.8;0;0.9;162.7
Республика Бурятия;3.1;70.1;72.4;1.8;2.2;4.5;51.6;3;0.3;0.3;0.6;1.4;11;0;0;0.7;0;0;0.3;0.7;0.7;0;2;3
Республика Саха (Якутия);2.1;555.3;13.9;71.6;2.7;18.8;45.7;59.1;0.4;4.7;5.8;5.9;1.9;0;0;0;0;0;0.4;0;0;0;1;59.1
Забайкальский край;1;140.4;22.3;35;2;4.1;29.6;6.2;0.1;1;1.1;10.6;0.7;0;0;1.2;0;0;0.1;1.2;1.2;0;1.3;6.2
Камчатский край;86.4;25.6;41.1;19.8;1.9;6.6;64.2;13.6;0.1;0.1;1.9;4.4;0.7;0;0;0;0;0.1;0.1;0;0;0;1.1;13.6
Приморский край;93;21.7;181.9;130.4;7.1;12.6;830.3;170.7;2.1;4.4;2.6;2;2;0;0;2.4;2;0.1;2.1;2.4;2.4;0;1.4;170.7
Хабаровский край;57.5;125;142.7;93.2;5.1;22.6;385.6;105.2;5.4;0.7;5.4;16.5;3.4;0;0;1;0;0.6;5.4;1;1;0;1.2;105.2
Амурская область;18.4;112.4;27.8;59;0.9;63.6;66.6;5.5;0.2;0.1;0.8;4.4;0.7;0;0;0;0;0.1;0.2;0;0;0;0.7;5.5
Магаданская область;13.5;231.9;0;21.3;0.6;10.2;54.9;6.1;0;0.1;0.2;3.5;0;0;0;0;0;0;0;0;0;0;0.8;6.1
Сахалинская область;24.3;746.9;49.4;20.2;2.2;33.1;41.6;66.4;3;0.3;3.8;21.2;3.9;0;0;0;0;0.1;3;0;0;0;0.5;66.4
Еврейская автономная область;0.2;16.9;4.1;1.5;0.3;1.2;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0
Чукотский автономный округ;0.2;111.5;1.3;7.4; -;0.3;18.6;4.3;0.7;0;0;0;0;0;0;0;0;0;0.7;0;0;0;0.5;4.3
